"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"DYNT","Dynatronics Corporation","1.21","$10.19M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/dynt",
"DVAX","Dynavax Technologies Corporation","4.66","$389.95M","2004","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/dvax",
"ETFC","E*TRADE Financial Corporation","45.16","$10.83B","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/etfc",
"SSP","E.W. Scripps Company (The)","13.46","$1.09B","n/a","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/ssp",
"EBMT","Eagle Bancorp Montana, Inc.","16.65","$106.62M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/ebmt",
"EGBN","Eagle Bancorp, Inc.","45.17","$1.56B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/egbn",
"EGLE","Eagle Bulk Shipping Inc.","4.65","$340.17M","n/a","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/egle",
"EFBI","Eagle Financial Bancorp, Inc.","15.86","$25.79M","2017","Finance","Savings Institutions","https://old.nasdaq.com/symbol/efbi",
"EGRX","Eagle Pharmaceuticals, Inc.","59.15","$808.4M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/egrx",
"EWBC","East West Bancorp, Inc.","44.92","$6.54B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/ewbc",
"EML","Eastern Company (The)","26.8","$167.12M","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/eml",
"EAST","Eastside Distilling, Inc.","5.09","$46.8M","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/east",
"EVGBC","Eaton Vance NextShares Trust","99.99","$62.49M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/evgbc",
"EVSTC","Eaton Vance NextShares Trust","99.98","$44.99M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/evstc",
"EVLMC","Eaton Vance NextShares Trust II","99.96","$69.97M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/evlmc",
"EBAY","eBay Inc.","40.53","$34B","1998","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/ebay",
"EBAYL","eBay Inc.","26.57","n/a","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/ebayl",
"EBIX","Ebix, Inc.","44.73","$1.36B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/ebix",
"ECHO","Echo Global Logistics, Inc.","23.35","$637.04M","2009","Transportation","Oil Refining/Marketing","https://old.nasdaq.com/symbol/echo",
"SATS","EchoStar Corporation","39.56","$3.85B","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/sats",
"EEI","Ecology and Environment, Inc.","15.01","$64.77M","1987","Consumer Services","Military/Government/Technical","https://old.nasdaq.com/symbol/eei",
"EDAP","EDAP TMS S.A.","4.12","$119.47M","1997","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/edap",
"EDSA","Edesa Biotech, Inc.","5.5076","$41.33M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/edsa",
"EDNT","Edison Nation, Inc.","2.37","$14.25M","2018","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/ednt",
"EDIT","Editas Medicine, Inc.","25.76","$1.28B","2016","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/edit",
"EDTX","EdtechX Holdings Acquisition Corp.","10.13","$80.09M","2018","Finance","Business Services","https://old.nasdaq.com/symbol/edtx",
"EDTXU","EdtechX Holdings Acquisition Corp.","10.37","$81.99M","2018","Finance","Business Services","https://old.nasdaq.com/symbol/edtxu",
"EDTXW","EdtechX Holdings Acquisition Corp.","0.21","n/a","2018","Finance","Business Services","https://old.nasdaq.com/symbol/edtxw",
"EDUC","Educational Development Corporation","5.87","$49.51M","n/a","Consumer Durables","Consumer Specialties","https://old.nasdaq.com/symbol/educ",
"EGAN","eGain Corporation","7.96","$243.03M","1999","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/egan",
"EHTH","eHealth, Inc.","80.33","$1.83B","2006","Finance","Specialty Insurers","https://old.nasdaq.com/symbol/ehth",
"EIDX","Eidos Therapeutics, Inc.","47.46","$1.78B","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/eidx",
"EIGR","Eiger BioPharmaceuticals, Inc.","11.86","$289.93M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/eigr",
"EKSO","Ekso Bionics Holdings, Inc.","0.5501","$41.21M","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/ekso",
"LOCO","El Pollo Loco Holdings, Inc.","11.48","$422.9M","2014","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/loco",
"ESLT","Elbit Systems Ltd.","157.73","$6.97B","n/a","Capital Goods","Military/Government/Technical","https://old.nasdaq.com/symbol/eslt",
"ERI","Eldorado Resorts, Inc.","42.98","$3.34B","n/a","Consumer Services","Hotels/Resorts","https://old.nasdaq.com/symbol/eri",
"SOLO","Electrameccanica Vehicles Corp. Ltd.","2.36","$87.23M","n/a","Capital Goods","Auto Manufacturing","https://old.nasdaq.com/symbol/solo",
"SOLOW","Electrameccanica Vehicles Corp. Ltd.","0.55","n/a","n/a","Capital Goods","Auto Manufacturing","https://old.nasdaq.com/symbol/solow",
"ECOR","electroCore, Inc.","4.05","$119.85M","2018","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/ecor",
"EA","Electronic Arts Inc.","98.42","$29.01B","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ea",
"ELSE","Electro-Sensors, Inc.","3.98","$13.51M","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/else",
"ESBK","Elmira Savings Bank NY (The)","14.38","$50.08M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/esbk",
"ELOX","Eloxx Pharmaceuticals, Inc.","6.49","$259.21M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://old.nasdaq.com/symbol/elox",
"ELTK","Eltek Ltd.","4.01","$17.56M","1997","Technology","Electrical Products","https://old.nasdaq.com/symbol/eltk",
"EMCI","EMC Insurance Group Inc.","35.97","$779.61M","1982","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/emci",
"EMCF","Emclaire Financial Corp","33.68","$90.89M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/emcf",
"EMKR","EMCORE Corporation","2.98","$85.71M","1997","Technology","Semiconductors","https://old.nasdaq.com/symbol/emkr",
"EMMS","Emmis Communications Corporation","4.82","$63.32M","1994","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/emms",
"NYNY","Empire Resorts, Inc.","9.75","$335.75M","n/a","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/nyny",
"ENTA","Enanta Pharmaceuticals, Inc.","68.97","$1.36B","2013","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/enta",
"ECPG","Encore Capital Group Inc","34.02","$1.06B","n/a","Finance","Finance Companies","https://old.nasdaq.com/symbol/ecpg",
"WIRE","Encore Wire Corporation","59.98","$1.25B","1992","Capital Goods","Metal Fabrications","https://old.nasdaq.com/symbol/wire",
